code	posted_on	posted_by	title	body
00044	20110414	jon	IRC Meeting Report	<p>Today we had a <a href="/i/dev/news?mv_arg=00043">scheduled developer meeting on IRC</a>, to focus on the future of Interchange. Even before the meeting time arrived, there was good discussion about what the next phase for Interchange will mean. Beforehand, Interchange’s team captain, Stefan Hornburg, posted a proposed roadmap which people have discussed.</p> <p>Interchange has always been at heart about ecommerce for Perl. That’s still an important niche for it to fill, and one close to the hearts of all the current Interchange developer. While Interchange has sometimes been used as a generic application server, there is other software in the Perl world that’s better suited for that role these days.</p> <p>One major problem that we would like to solve is that Interchange is little-known in the Perl world at large, and that isn’t because it’s too new or obscure, but because it’s not on CPAN, is a monolithic all-or-nothing system, and doesn’t interact well with other Perl web software. We want to make Interchange a good choice for Perl developers doing ecommerce, and make it easier for competent Perl programmers to get results with it quickly.</p> <p>The new Interchange roadmap and IRC discussions define the new Interchange “Bongo” branch’s components in rough outline:</p> <ul> <li>No backward compatibility with Interchange 5, though eventually migration helps may be developed</li> <li><a href="http://plackperl.org/">Plack/PSGI</a></li> <li><a href="http://www.perldancer.org/">Dancer</a> and plugins, to cover dispatching, sessions, authentication, etc.</li> <li>Newer Perl versions (5.10.1 or newer)</li> <li>Good unit test coverage, and cpantesters.org testing</li> <li>UTF-8 everywhere</li> <li>Shopping cart, products likely part of core — it sounds like people want to be database agnostic to allow various SQL, NoSQL, etc., but implementation details here will of course be paramount</li> <li>CPAN modules used wherever possible: <ul> <li>templating: Template::Flute, Template Toolkit, Text::ScriptTemplate, Text::Template, etc.</li> <li>payments: Business::OnlinePayment modules</li> <li>database access: Dancer::Plugin::Database, Rose::DB, DBIx::Class, etc.</li> <li>shipping calculation: Business::Shipping::*</li> </ul> <li>Plug-in architecture for features not always used, such as discounts, coupons, inventory handling, affiliates, reviews, paging (more-list), fragment caching (timed-build)</li> <li>Demo store</li> <li>Same license as Perl: dual GPL + Artistic, as opposed to GPL only for Interchange 5</li> <li>Documentation in POD plus a wiki</li> </ul> <p>Developers who plan to devote time to this include Stefan, me (Jon Jensen), David Christensen, PJ, Marty, Nick Cook, and Justin La Sotten. Jure will help with design and CSS. Testers will include rsdvd, Mat Jones, Gert van der Spoel. And others expect to be able to join in once things get going.</p> <p>We agreed to remove Interchange 5.10, a proposed transitional release, from the roadmap, as many developers didn’t see that a transitional release would get used much and would distract from Interchange 6 work. Interchange 5.8 is the next stable release expected in the next few months, and if there’s ever a need for a version 5.10 that can be done then.</p> <p>There will be a new Interchange 5.7.7 development release coming very soon.</p> <p>Clearly there’s a lot of work to be done, but we haven’t seen so many people involved in a developer meeting for a long time, so there’s reason to be hopeful.<p>
00043	20110328	thunder	Interchange IRC Meeting: April 14, 2011	<p>On Thursday, April 14 (or April 15 depending your <a href="http://www.timeanddate.com/worldclock/meetingdetails.html?year=2011&month=4&day=14&hour=19&min=0&sec=0&p1=137&p2=179&p3=136&p4=240">location</a>), the next Interchange meeting is scheduled to take place on #interchange IRC channel at chat.freenode.net.</p><p>The topic of the meeting will be: The future of Interchange.</p><p>All Interchange users and the general public are invited.</p><p>If you don’t already have an IRC client set up, you can use the <a href="http://webchat.freenode.net/?channels=#interchange">Freenode web IRC client</a> (after login use the white line on the bottom for typing your messages).</p><p>We look forward to seeing you on #interchange!</p>
00042	20100324	david	Interchange security releases: 5.7.6, 5.6.3, 5.4.5	<p>Today we are releasing three new versions of Interchange:</p><ul><li><strong>Interchange 5.7.6</strong> is the latest development version representing all recent improvements and new features to increase developer efficiency and fix bugs.</li><li><strong>Interchange 5.6.3</strong> is the latest stable version which includes the most important changes backported to provide the most stability possible for those upgrading from versions 5.6.0, 5.6.1 or 5.6.2.</li><li><strong>Interchange 5.4.5</strong> is an update of the previous stable series of releases provided only to fix a serious security problem.</li><p>All three releases close a potential HTTP response splitting vulnerability.  This type of vulnerability can have multiple impacts including cross site scripting, cross-user defacement, web cache poisoning, hijacking pages and browser cache poisoning.  More information about this type of attack vector can be found at <a href="http://www.securiteam.com/securityreviews/5WP0E2KFGK.html">http://www.securiteam.com/securityreviews/5WP0E2KFGK.html</a>.</p><p>Catalogs based on the standard demo are not known to be vulnerable out-of-the-box, but there is still the potential of the split response vulnerability impacting custom pages or functionalities.  In particular, if you have enabled either the BounceReferrals or BounceRobotSessionURL directives you may be vulnerable to this attack.</p><p>To protect against exploits, we strongly recommend all public Interchange sites upgrade to the latest point release in the current series.</p>
00041	20100223	david	Interchange 5.7.5 development release	<p>We’re pleased to announce the release of Interchange 5.7.5, the latest development version of Interchange.</p><p>It includes all known bug and security fixes, as well as a few minor new features (see the <a href="http://ftp.icdevgroup.org/interchange/5.7/WHATSNEW">WHATSNEW</a> file for details). We recommend new development be done with this version, but only experienced Interchange users should deploy it on production servers.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00040	20091209	david	Interchange 5.7.4 development release	<p>We’re pleased to announce the release of Interchange 5.7.4, the latest development version of Interchange.</p><p>It includes all known bug and security fixes, as well as a few minor new features (see the <a href="http://ftp.icdevgroup.org/interchange/5.7/WHATSNEW">WHATSNEW</a> file for details). We recommend new development be done with this version, but only experienced Interchange users should deploy it on production servers.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00039	20091105	jon	Interchange 5.7.3 development release	<p>We’re pleased to announce the release of Interchange 5.7.3, the latest development version of Interchange.</p><p>It includes all known bug and security fixes, as well as a few minor new features (see the <a href="http://ftp.icdevgroup.org/interchange/5.7/WHATSNEW">WHATSNEW</a> file for details). We recommend new development be done with this version, but only experienced Interchange users should deploy it on production servers.</p><p>This is the first release available in the new XZ compression format, which aims to be the successor to bzip2 (and the short-lived lzma format). Ubuntu 9.10 and Fedora 12 support it, including in GNU tar with the -J option. It offers a smaller download, but is completely optional as far as Interchange is concerned.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00038	20090917	jon	Interchange security releases: 5.7.2, 5.6.2, 5.4.4	<p>Today we are releasing three new versions of Interchange:</p><ul><li><strong>Interchange 5.7.2</strong> is the latest development version representing 10 months of improvements and an impressive list of new features to improve developer efficiency and fix bugs.</li><li><strong>Interchange 5.6.2</strong> is the latest stable version which includes the most important changes backported to provide the most stability possible for those upgrading from versions 5.6.0 or 5.6.1.</li><li><strong>Interchange 5.4.4</strong> is an update of the previous stable series of releases provided only to fix a security problem.</li></ul><p>All three releases provide a new security feature to close a serious security vulnerability which we will describe here:</p><p>A <strong>remotely exploitable security vulnerability</strong> has been discovered where any table configured within Interchange could be viewed remotely by an unauthenticated user, by using a specially crafted search request.</p><p>This vulnerability affects all previous versions of Interchange. Even without using the search structure provided in the default install, your catalog could still be vulnerable.</p><p><strong>To protect against exploits, we strongly recommend all public Interchange sites upgrade and use the new configuration directive AllowRemoteSearch.</strong></p><p>AllowRemoteSearch limits what database tables are remotely searchable and should be specified in each catalog configuration. It defaults to:</p><pre>AllowRemoteSearch products variants options</pre><p>Any table specified in this option will be remotely searchable, and you should not permit any table with sensitive information to be searched in this way. You should carefully consider the implications of adding any further tables to this configuration option.</p><p>Remote searches may have been used by your existing catalog. These should continue working without any changes as long as they only search tables that are permitted by the AllowRemoteSearch directive. You should carefully examine your catalog for uses of the <tt>search</tt> form action, or pages which submit a form to a page called <tt>search</tt> or <tt>scan</tt>. If they specify a search file other than products, variants, or options, you should consider rewriting that page to just accept the search terms via CGI parameters, and not the entire search. Please consult <a href="/doc/icdatabase.html#In-Page%20Searches">the documentation on in-page searches</a>.</p><p>If your catalog makes use of ActionMaps that perform searches, these should continue to work as intended as long as they search a table allowed by AllowRemoteSearch. However, you should consider updating them and the <tt>ncheck_category</tt> Sub in catalog.cfg to use the new <tt>search</tt> tag.</p><p>In the standard and foundation catalogs, the “lost password” feature makes use of the remote search feature. We recommend that you delete <tt>catalog/pages/query/get_password.html</tt> from your catalog, and replace <tt>catalog/pages/query/lost_password.html</tt> with an updated version from one of these new releases. As an alternative, see the UPGRADE document for a patch you may apply to work around the problem temporarily.</p><p>For more details see the section “REMOTE SEARCHING” in the <a href="https://github.com/interchange/interchange/blob/HEAD/UPGRADE">UPGRADE document</a>.</p><p>Packages are available on this site for <a href="/i/dev/download">download</a>. We thank Mark Lipscombe for finding and fixing this vulnerability and for his other contributions to these releases.</p>
00037	20090823	jon	Next Interchange community meeting	<p>On Tuesday, August 25th, the next Interchange meeting is scheduled to take place on #interchange IRC channel at chat.freenode.net.</p><p>Among the main topics we expect to discuss are:</p><ul><li>Progress update since last meeting</li><li>Promotional efforts regarding Interchange</li><li>Wiki for website</li><li>Roadmap for Interchange / WellWell / icdevgroup.org website</li><li>Clear responsibilities of team members (releases, security, promotions, etc.)</li></ul><p>All Interchange users and the general public are invited. The following members of the Interchange Development Group have already confirmed that they plan to attend: Daniel Browning, Gert van der Spoel, Greg Hanson, Jon Jensen, Mark Lipscombe, Mike Heins, Peter Ajamian, Ron Phipps, and Stefan Hornburg.</p><p>The meeting will take place on Tuesday, August 25, or Wednesday, August 26, depending on your time zone. Please <a href="http://www.perusion.com/Ssb39Q">check this site</a> for the meeting time in your area.</p><p>If you don’t already have an IRC client set up, you can use the <a href="http://webchat.freenode.net/?channels=#interchange">Freenode web IRC client</a> (after login use the white line on the bottom for typing your messages).</p><p>We look forward to seeing you on #interchange!</p>
00036	20090813	jon	David Christensen joins core team	<p>Today the Interchange Development Group welcomes David Christensen to its core team. David has been developing websites with Interchange since 2006, and in the last year or so has become increasingly involved in core development, including UTF-8 support, testing, and troubleshooting. We’re pleased to now have David as a committer. Drop by <a href="/i/dev/users/community">#interchange on Freenode IRC</a> and congratulate him, and try to stump him with thorny Git questions while you’re there. :)</p>
00035	20090812	jon	Payflow Pro legacy API retirement on September 1	<p>This is an important note for anyone using the legacy Payflow Pro API for payments. This was formerly owned by Signio, then Verisign, and now is owned by PayPal, but is distinct from their classic PayPal system which is not related.</p><p><a href="https://cms.paypal.com/us/cgi-bin/?cmd=_render-content&content_ID=developer/gateway_update&mplx=3484-73577-1499-3">On September 1, 2009, the old Payflow Pro API will be shut off</a> and any attempt to take payments or do anything else via that API will fail. This affects all applications using the old API, not just Interchange.</p><p>If you’re using the “signio” payment module in Interchange, you should switch to the new “payflowpro” module as soon as possible. You can see the <a href="https://github.com/interchange/interchange/blob/HEAD/lib/Vend/Payment/PayflowPro.pm">latest version of the Vend::Payment::PayflowPro module</a> in our Git repository and then click on the “raw” link at the top to download it without any extraneous markup.</p><p>If you need assistance in making the switch, use our <a href="/i/dev/users/community">Community Resources</a> page to talk with Interchange developers via mailing list or chat, or see the <a href="/i/dev/support/index">Professional Support</a> page to find developers for hire who can take care of it for you.</p><p>Most merchants and developers were alerted long ago by PayPal or via other sources, but we wanted to get the word out one last time since only 19 days remain to make the change.</p>
00034	20090525	jon	Interchange source code migrated to Git	<p>Tomorrow will be the ninth anniversary of the date when Mike Heins created the Interchange CVS repository to track source code. Nine years!</p><p>In coincidental honor of this anniversary I’m pleased to announce that the Interchange CVS repository has been imported into the Git distributed version control system (thanks to the excellent cvs2git program, part of cvs2svn), and we are now using Git to track changes and are retiring the CVS repository.</p><p>Instructions on accessing the new repository directly with a Git client, using Gitweb, and using our GitHub mirror, are at the <a href="/i/dev/download">Interchange download page</a>.</p><p>There are many good Git tutorials online, and you can get started at the <a href="https://git-scm.com/">official Git website</a>.</p><p>I encourage serious Interchange users to check out <a href="https://github.com/">GitHub</a>. GitHub has become very popular and well-known in the larger Git community because it makes it easy for anyone to set up a free GitHub account, make a GitHub “fork” (personal working copy) of one of the Interchange repositories, and post changes there.</p><p>Then instead of having to send patches through email where they may get mangled and are harder to merge with other changes, you can post them to your GitHub fork. Then one of the Interchange core committers can simply pull down the changes and commit them. Or if your change isn’t accepted for some reason, you’ve still got it in a public place where you can point other people to it, and you can continue to merge ongoing mainline Interchange development with your patch so it stays current.</p><p>For other projects GitHub has helped enable broader community contributions beyond just the core committers, and I hope it can do the same with Interchange. But that will only happen if you take a few minutes to contribute back improvements you make to Interchange!</p><p>You may also be interested in an artificially constructed <a href="https://github.com/interchange/minivend">repository of old MiniVend and Vend releases</a>. That’s just for fun.</p><p>Please report your experiences with the new Git repository on the <a href="/mailman/listinfo/interchange-users">interchange-users list</a>.</p>
00033	20090519	jon	LinuxTag 2009	<p>Once again, the Interchange Development Group would like to invite you to join us at the LinuxTag 2009 conference in Berlin, Germany.</p><p>This will be our third consecutive year at LinuxTag, Europe’s leading exhibition on Linux and Open Source. LinuxTag is expected to attract over 10,000 visitors ranging from IT managers, developers, system administrators, and users of Open Source solutions.</p><p>The international event takes place from June 24-27, 2009, at Berlin’s Messezentrum unter dem Funkturm. Conference languages are English and German.</p><p>At LinuxTag, Interchange users and developers from around the globe have the opportunity to meet in person. Several Interchange experts will be staffing the Interchange booth, ready to answer questions, provide valuable insight into the Interchange framework, and discuss future directions.</p><p>We look forward to seeing you there!</p><p>Please let us know in advance if you plan to attend so we can arrange free tickets and set up an individual appointment with you.</p><p>For more information, see the <a href="http://www.linuxtag.org/2009/en/">LinuxTag 2009 website</a>.</p>
00032	20090513	jon	Experimental UTF-8 branch	<p>David Christensen has been working on improving Interchange’s UTF-8 support that has had compatibility trouble with Safe, performance, and in some other areas, and is maintaining changes not yet ready for mainline Interchange in his <a href="https://github.com/machack666/interchange-utf8">GitHub fork</a>. If you’re having any trouble with UTF-8 in Interchange, please give his changes a try and let us know on the interchange-users mailing list.</p>
00031	20081205	jon	JT Justman joins the Interchange core team	<p>Today the Interchange Development Group is pleased to welcome JT Justman as a new member of the group. JT has been using Interchange since fall of 2000, and was among the first to integrate Interchange’s checkout with PayPal. We’re glad to now have JT as a committer and look forward to his continuing good contributions.</p>
00030	20081113	jon	Interchange 5.4.3, 5.6.1, 5.7.1 released	<p>The Interchange Development Group is pleased to announce the release of Interchange 5.4.3 and 5.6.1, maintenance releases to the current and previous stable versions of Interchange.</p><p>There were several changes, including bugfixes to prevent cross-site scripting injection (<a href="https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2008-6945">CVE-2008-6945</a>) and to fix regressions in the previous releases.</p><p>In addition, we are also providing the first release to show work underway on the new development branch, Interchange 5.7.1. It includes all known bug and security fixes, as well as new features. See the <a href="http://ftp.icdevgroup.org/interchange/5.7/WHATSNEW">release notes</a> for complete details.</p>
